,id,voter,created,__typename,choice.3,choice.4,choice.5,choice.6,choice.7,proposal.id,proposal.space.id,choice.2,choice.1
45,0x889e79a3592e60c62ccdbc92fe6f29b66e5fe71ef9b68a38b3f3bf779dd5ad04,0x201E6710f39611807BB8EC840f8c252F6C16C71E,1647882895,Vote,5.0,3.0,2.0,1.0,6.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,2.0
46,0x17e9d7ef09a5871b60adcfb93e7809b3b35a5108330e1b957ee2d8025d9acc7b,0xAFa6F7A00e089059DB60268ad230aF5e311C440c,1647881528,Vote,1.0,,1.0,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
47,0x546cefa8b7ab4dfb8074fa23d823cbf51cdeee0441fd75257c1ac9c36f33aacd,0x314618a937f4f443Ba1700222AFc1518F3238480,1647881398,Vote,,1.0,,,2.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
48,0x2854c7368c39c30baba253375f789121f8c6c49d4c502daf1aec8ae37961c41c,0x2ce1A66F22A2Dc6E410D9021D57aEB8D13D6bFEF,1647880779,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
49,0x6815cca5eee02f43ace4b332c8c4b7b88472270e300328f5ba58046994038eeb,0x93E459A7fA7886cE52993A48445646A1342F1Bf0,1647873115,Vote,,,,,100.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
50,0xd02a225f1dfb42a2160381e4e726fcc563f55b3b70716fafe52858806813a920,0xBd7041c03B68467a55596F375c3e4Bb716406a23,1647872820,Vote,25.0,,25.0,,25.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,25.0
51,0x8ba4d30f0ea2398d18e86d1a35cd116c7bd22031603f53d06af18bed6275022a,0x3eC25DBBF90468979c25b45D9F76aBAAA59dFCa2,1647871007,Vote,,,,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,1.0
52,0x6d8a2c3474149844f7fdbe0367ccbd4ba9a00136f19356e345ca1fa60efafac1,0xF226018b76f2F7cB45aD5829a7eEDD4214580a3F,1647862875,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,1.0
53,0x5b11033a3127f87ad93bdf063571e809241d45f7ef38c41e61443489a9bd47b5,0xdd45CA901067d65860b54d4310e37371CD92Fb09,1647852866,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
54,0xcd8135a95f1d1648903e8298acaee3c8ae5673e03c69af8aa0822908d4de0e65,0x2D96e1FE38ff45CC8910C617b3c5E0B6298a81f3,1647844705,Vote,1.0,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
55,0xee4c55e890a2fb3b29669fb88f2e5da5a462a831a0ee9aa18acb7fbc5d83e094,0xad4745844bC838a22c6d63213507Bc888dEE3fc4,1647843350,Vote,,1.0,1.0,1.0,2.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
56,0xee1795c185a76938382d0d6e33ea2168ecd48d9c0c6e4fc9970afcc9535eed82,0xC93BBD6b37893667bf1e100F7Bd445E3044D72C9,1647835427,Vote,25.0,10.0,10.0,10.0,25.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,10.0,10.0
57,0xd7cedf8712afcff97a8dc320e59e5d1d1139dab0aac406ae81957a0e64690c81,0x83C9440dc34DA00c47A0d4dC2b598d7BDB1b53F7,1647832221,Vote,,,2.0,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
58,0xd0f876c2899a3650cecd95e8a5a413136d6439bba8203c518211c64eee6a961a,0xE8c77e0eAbD6d8b2F54343152a8b213d3a42E54E,1647817246,Vote,,,50.0,50.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
59,0x2b33b54e148ae2bde280e420e346facaf1347b6aea4327b317d8d3b2dae2c8f1,0x6A76DF065Fb20c33E99A763eCF186C60d1d3f78B,1647812460,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
60,0x95b041ca856c10e91856286038e0c0f68889009286b9d1b19d9f8da46546d111,0xAEab2C097bd7a9e5Dbd83fEba500Aa56fB0C5930,1647798627,Vote,30.0,20.0,30.0,,20.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
61,0x5ccfcb25f63b1861c1f6374fb7840cfcf9d1b2010a515f6fb001ee3c64cc3303,0x2A1BBcdff7A047d82fc8829FAA0D13a8D2cf1dBE,1647790136,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,200.0
62,0x1617e9fee9ef89b2ef473f11d3563efcc6fd0a35e4686fac03b384aa55eb882f,0xB7D62170F81E9F576906B81999a071eFDC3a0A0A,1647789775,Vote,1.0,1.0,1.0,1.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
63,0x4a7f896b51d8c79c5aa982f60caf6fa803a6ef2a0df5d30f4b3b6ef1cb80ace2,0x45b8BE1f65D8943580ed9CdB30865d2033BEb5E7,1647789482,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
64,0x91098b9e75683860c1e660e8334ec64a0d10661bc82cf6388fb5d73c171e9edd,0x403a1Eb02a01702bF66c5D98FE2454348bCdb7f8,1647789400,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,100.0,
65,0x228627c6617ebc96a7cc8b2bc4070e6297cdf41209eeff1c730be9a0ece51fbf,0xdf1B02672d19909F80805AA3b217b8C9cD704D60,1647788229,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
66,0xd839c498aaee2392097133c700bd42d64ceba1b0129a4a12acc3c06233e5c0c1,0xAEECD8471dC7D1D9a8745916b79e1091617d86Cb,1647777633,Vote,,1.0,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,
67,0x92cbff73eb18ba14dd96b907b44a31e07a21ddd5a5b320ea343a86e59b275340,0xaB888291F4127352B655fd476F64AC2ebfb8fe76,1647770601,Vote,,1.0,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
68,0x81e46015c6cfe0b44425653f915e1e2a98701fcfb8631a74eddcbaccaf292cdd,0x0F46540678c7e6D2eF983B382CC07Fa815AB148c,1647765887,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,60.0,40.0
69,0x8b2e2979dd6ab8055d5a7303ebc4206a89766caacdca7c2392c0e2dd720e4a9e,0xFA7513021002F7181333B773BF801DFD7fd91ce7,1647724037,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
70,0x0f4bf10c770f174928babaf2d38b3e83d23c8e734a9eab5e4710d4124ffad6a8,0xbFE384D79969Bcb583B8A0e5FEDC314Aee480E7e,1647710791,Vote,1.0,1.0,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
71,0xc4d854612ae28c147234a4586a70a5239186b7f9b6204ce343e91f1438e7652a,0x600B7eD5d4F7eeBE62Cf089003E95Dce68625Ae2,1647704003,Vote,4.0,5.0,6.0,1.0,3.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,5.0,4.0
72,0x1cf9f30c13bc8e4f04a1ce59a809c4528a90bc68d03a14373a60e9265d5d7bc5,0xF30FC56264d65F241d5b2f0C861BbFf7555656b9,1647703966,Vote,8.0,4.0,5.0,6.0,7.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,5.0,10.0
73,0x76b35925a9c411706b8a71f5028086174a4dca1068ba815c76a99407243297ec,0xCF603a4B0D42337DD9fde4998c092aDc9C6C7fDb,1647695118,Vote,,1.0,,1.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,2.0
74,0xcb003791959a87ee3465a5406e03984165d53d2bd3e9a513f3157d66c30669bb,0x0A4DE625aa7624dD72cb09a41a6E52FCe1993310,1647685652,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
75,0x7cd9acd4d659202c2935d3043631f5eebed0c075c3e0cf5579d6532da606fff2,0x10a4be2F610104A18DbD9888E4FEf4374A9BBBE6,1647684426,Vote,1.0,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
76,0x9e15c2df17a07c69a15036e4203d018ccba7990cff2dccd3c050a2c665f16491,0xA9bEA5C0C25E4D02d56CBFE9A7564c3CcF599617,1647677526,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
77,0x44352b00dfb8e398c63cb177cb1740072f500513d5eb6fdbd950b5bb6b9a2f00,0xe9945b3AcbDc2f9dcad8871F01aa9dabBb20d882,1647675119,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
78,0xc3ec44f8d3a1cf7b2bf48e60727742a91650b2693ef3c5cf497357bc125be407,0xB6fcA91D1c166564cC9888F96b3B553f42C96349,1647674204,Vote,,1.0,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,1.0
79,0xd63cc20f89e94bbb033a608d663eaff02aa9e64adb0dbba79ed734b6818546e9,0x7e62D7BbEa6c1A843552f6dBB6E1395bAd769226,1647673832,Vote,1.0,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
80,0x9e9fa4947653e7536dd8997e9244834f2b078325b0ac1d95966618c7f5253fd7,0x528cD3a3db61d0e325BCD486bAEEe8E7317206Af,1647665476,Vote,1.0,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
81,0x562ea539707da547823f5d001beaaa6f2435cc9e7be0caa7a7095cda8fb05922,0x6c4de74f5752960e991D7bf580fDE2cFc5E2CA59,1647665212,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
82,0x64679cce95d102bb912dea329776c6fa113e2af2a938b1526a0b046328eb79d4,0x543b65d285d708B6f23d667a0Cc554fb22b458d7,1647663781,Vote,,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
83,0x43993f165966d8d2e8e7a7837fe245c57b98966423368d9ead909048102b83f7,0xe73E9A8e2616931fd3401874bb03f9b5C0e61CfF,1647659724,Vote,1.0,,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
84,0x9c6ef759414a04f5709f519832e7d6dc30a0c763fd67ebb1928858d61fa0490f,0xfa483C6f280782714813C484Ea05BaB55e9f81ad,1647653214,Vote,1.0,1.0,1.0,,3.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,3.0,
85,0x8ab025e6b56c39f3f5d5c13ee71858b3fcbf5e2e209ed8d96ee63150fd2de88f,0x7929fF721516111056b3b36259846F9B942400a9,1647644889,Vote,1.0,1.0,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,2.0,
86,0x909257025203f66d95483a1fe4f65eecb4f797ec37d134c9d058d133e5f23c09,0xE4067ED66738dBDC7b8917703C8c380d898033F8,1647635863,Vote,,1.0,,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
