"ID","Collection","ENS","Minting Date","Tx Count","Power"
"439111","0xc531373ff82305ad85eb1fb25c6eaa949434df69","","7/2/2021","1","3"
"439112","0x745ebcbf5916914fe098c2db546501a206485870","","7/2/2021","1","359"
"439113","0x59547307d27c330a23354d2a344650bf279d7523","","7/2/2021","1","113"
"439114","0x501783e585936116220b5028c4c22dc9fdb991bc","","7/2/2021","1","173"
"439115","0x7101a39c053954e3e7fd010fdf3f6ef6bdbcbde0","","7/2/2021","1","182"
"439117","0xdcf6680ebac3908ddaeb41b4e567f19d67075cd7","","7/2/2021","1","274"
"439118","0x910c60c049d833a7fd2f5bda310bbea1c5fa3598","","7/2/2021","1","267"
"439119","0xe626e8ca82603e3b44751f8562b5ed126d345140","","7/2/2021","1","115"
"439120","0x4b771e3421d4fbecc6eb67a26af77aca85ef2ac3","","7/2/2021","1","193"
"439121","0x810d3aabbbf8cbcff5c256f2b0621c4941f8b139","","7/2/2021","1","244"
"439122","0x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5","","7/2/2021","1","352"
"439123","0x254bd5fb03e2d387293721d989fb3e6dff5dcf71","","7/2/2021","1","185"
"439125","0x9e87269b0adfec0398ee85f4947f4c3517a3d7f0","","7/2/2021","1","334"
"439126","0x242f20589e3aa594d5014a58501f376861984f65","","7/2/2021","1","170"
"439127","0x5d46ed7405a8a87492cd139fcd38bce60cb5030e","","7/2/2021","1","191"
"439128","0x0aee7893ca0387cfab680e402f325e995712fff4","","7/2/2021","1","106"
"439129","0x4c41f7201552487a55c623f8a45694d9f88c2b81","","7/2/2021","1","641"
"439130","0x858e517a8e5c28e7d2fbe081a739f0276e85e69b","","7/2/2021","1","145"
"439131","0x8504a09352555ff1acf9c8a8d9fb5fdcc4161cbc","","7/2/2021","1","255"
"439132","0xc95cfd9aa84a495d020660bea6571c4cb85c3038","","7/2/2021","1","259"
"439133","0x9155881a99c41620edfc889e18ec180cdd567bc6","","7/2/2021","1","235"
"439134","0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274","","7/2/2021","1","10"
"439135","0x22e29241d2071312047e619666ebf3ddf9f39461","","7/2/2021","1","9"
"439136","0xe4067ed66738dbdc7b8917703c8c380d898033f8","","7/2/2021","1","36"
"439137","0xad5f45836b933aa3c82c7e0c1ac9173ecb6ff04d","","7/2/2021","1","22"
"439139","0x5a9016dbb0b9d366a328daaa28d316c104fa0956","","7/2/2021","1","63"
"439140","0xa1a233242d67a37776c43c38fe22ca6da9a09ed6","","7/2/2021","1","138"
"439141","0x1fbb06e5df7479be3b021cdea3271c61235ff1d5","","7/2/2021","1","16"
"439142","0x17dfd18987b6b131686fea478600b75d11193335","","7/2/2021","1","477"
"439143","0x16458d6563e02ee371544096ceb89dc32316c3dd","","7/2/2021","1","9"
"439144","0x76024694ed557264719683b0ceab8df1a572262e","","7/2/2021","1","93"
"439145","0x6cad957812f1bb9ab9364f20cfa15482bce9de77","","7/2/2021","1","41"
"439146","0xdd39c8deaeacdcdde35bd48a469349b9346fe7fa","","7/2/2021","1","16"
"439148","0xea921acfe2d96d30690e06b5d4d64be6e1192ce6","","7/2/2021","1","13"
"439149","0x856a6b90c32bb4b27565660085bbcf3a45aa5172","","7/2/2021","1","66"
"439150","0x92cee811160734ff2eaa6e760a8649a62bd3f7ee","","7/2/2021","1","60"
"439152","0x4f8c2d5397262653cd8956cb977a0ba3660210c7","","7/2/2021","1","23"
"439153","0x543b65d285d708b6f23d667a0cc554fb22b458d7","","7/2/2021","1","278"
"439187","0x541ffd67537185cb4abc2b028795c2bf4ac6c45f","","7/2/2021","1","70"
"439190","0x88d9b709ddd27dd1dd1c761352e52a1c96bc78e7","","7/2/2021","1","8"
"439191","0xb09861246e4149afa18581449c0bb6d4f56bfee3","","7/2/2021","1","18"
"439192","0x9311d45341b284900711f9bc155ce2e381248c29","","7/2/2021","1","16"
"439193","0x1745a3f232467511fc36b2480e8e7acf6a7aa7f0","","7/2/2021","1","4"
"439194","0x75ba5ee883c2ede43282bde16e38d6ca8edccdf3","","7/2/2021","1","159"
"439195","0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5","","7/2/2021","1","15"
"439197","0xd74aec3555965b70204a2f07f5626509fd2134d7","","7/2/2021","1","53"
"439199","0xb79411ca5481024f3d176135e96c96e4046661d2","","7/2/2021","1","12"
"439204","0xc22824c25513dee409aa6453742094a01f594846","","7/2/2021","1","5"
"439205","0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478","","7/2/2021","1","14"
"439233","0x12e7810ad7cb016abfb903068f04c31a99e827cd","","7/2/2021","1","3"
"439235","0x705360aa5ee97311e91c0375a27a18527538e3a4","","7/2/2021","1","10"
"439238","0x1b4bcca2636f7106207813f9e07d80d861baa705","","7/2/2021","1","11"
"439240","0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733","","7/2/2021","1","14"
