ID,Collection,Minting Date,Tx Count,Power
633243,0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2,7/30/2021,1,16
633285,0xeba9717a3341e5750be43256c91ae068fdb01a27,7/30/2021,1,19
633302,0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6,7/30/2021,1,14
633343,0x49087eb6f9529eb02a508fb820d7b4d0b52e4881,7/30/2021,1,1032
633361,0x8c2e843664be468522769b0d1b3b604a17962249,7/30/2021,1,420
633399,0xf3bfaceedb442e170f896d96e16ed01354c022bb,7/30/2021,1,70
633405,0x3e1f1605222d41ebbf6d5f6699a0e38523818ea0,7/30/2021,1,6
633413,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,7/30/2021,1,762
633463,0x482d8a09b8bf2078b6d0ebc2e876138c62101739,7/30/2021,1,114
633498,0x6350e1a72158e16a28b064ac49b1c9cfeb8aeef1,7/30/2021,1,14
633510,0x69b0b6fb940e7a46a9a09440fd70e229d63ad2e2,7/30/2021,1,717
633522,0x3cfd9c16d7b298d623d7160b1a2b56496402b9f0,7/30/2021,1,18
633549,0x5a45fa1d4ffc1428dc50f9df6fd1643f1012a39d,7/30/2021,1,429
634106,0x175256f85a43d02a252c3e2b953fa8efdff9972b,7/30/2021,1,11
634492,0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848,7/30/2021,1,39
635336,0x859a8e0ae06b4912da619938c5469c01d2a2b7da,7/31/2021,1,8
635606,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,7/31/2021,1,18
635794,0x66300889afb808626498c28e3811bb9b06a014ad,7/31/2021,1,17
636329,0x2b18233fb4306a705471a7271c018ce0ff7dd754,7/31/2021,1,17
636341,0xb10be5cbbf9655ed3648184ade56d3b4d6cedd4f,7/31/2021,1,235
636351,0x11d0b9058104247be40744b1e5a708fc0ae8f7cc,7/31/2021,1,25
637060,0x8fad37dfe228d08361385cda72f72bb20975a723,7/31/2021,1,9
637089,0x42919c338c192609a6042311e48c1a1ef5f1a6ce,7/31/2021,1,393
639972,0x61f1ec7720bf935e6dcc03ebcfd0e01774c563e2,7/31/2021,1,3
642693,0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7,8/1/2021,1,13
642968,0xf632f067bb26b08e95e23225a016ed9e02265137,8/1/2021,1,18
648889,0x1dca1f25e29ff5c35bfb4a6e39ff872bf717945b,8/1/2021,1,7
742083,0xa9ad9744abe11cde68849963566de523393ff578,8/12/2021,1,1
