"ID","Owner","ENS","Claim Date","Tx Count","Power"
"242459","0x3d1be4d62ae38ffa738934df2dac3855777eac15","","5/21/2021","1","10"
"242460","0xb09861246e4149afa18581449c0bb6d4f56bfee3","","5/21/2021","1","9"
"242461","0xdc5b61342b89d7b8c634117206fdda95cd5e7525","","5/21/2021","1","4"
"242463","0xc4a69b137d22b52a36328f3ac6d5aa9984faab8e","","5/21/2021","1","21"
"242465","0x800d2e35a0b9ba841db838ea4d20723d37bd2c52","","5/21/2021","1","7"
"242470","0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9","","5/21/2021","1","6"
"242474","0x8d4930b19b409401621648a391c960fbf0be0a39","","5/21/2021","1","3"
"242476","0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7","","5/21/2021","1","7"
"242480","0xe4fb2c5bd24fb3c344b98a5f51010eaaba47c9e4","","5/21/2021","1","5"
"242485","0x8f942eced007bd3976927b7958b50df126feecb5","","5/21/2021","1","11"
"242490","0x1fbb06e5df7479be3b021cdea3271c61235ff1d5","","5/21/2021","1","6"
"242491","0x6f3924e9158c74d344bf578a251bcc2ef41f8f50","","5/21/2021","1","5"
"242493","0x662d5d79849113a5403af776210307a7c82a5267","","5/21/2021","1","2"
"242497","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","","5/21/2021","1","19"
"242500","0xeb5806ffcf9a1e9b24876b68dab80c4dd7ef42ec","","5/21/2021","1","5"
"242513","0xd77583e4babf06648ac283f14aa595a08d7699ee","","5/21/2021","1","2"
"242516","0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6","","5/21/2021","1","5"
"242518","0x705360aa5ee97311e91c0375a27a18527538e3a4","","6/4/2021","1","4"
"242520","0xcaf6a42ec6e3574de56c690bbbc42aa898058bf2","","5/21/2021","1","6"
"242524","0xbd19a3f0a9cace18513a1e2863d648d13975cb30","","5/21/2021","1","16"
"242526","0x4f2769ea94ed3591e9d845708c7e90355cf4c38b","","5/21/2021","1","5"
"242527","0x20a09353d0c42d2b8b9725cdd12e1d15d397c450","","5/21/2021","1","3"
"242532","0x2fc5444d3818ebf2914541a9b7e15b37ae29bdc2","","5/21/2021","1","5"
"242537","0xb871d6b530ee3c21e8b098bc99f39bff5c0dcf32","","5/21/2021","1","5"
"242538","0x3b6af276524f796f37d6e9510fef7770ce4ec57e","","5/21/2021","1","5"
"242545","0xa8e54a268dbc8917cebf8c339817b2f0a8b167f2","","5/21/2021","1","1"
"242546","0x6c0aff3a716292f37c79bc726964941f1d8ee819","","5/21/2021","1","7"
"242589","0x0d2c626e4a23d6754b6a7e0e27f4f97124abf47c","","5/21/2021","1","3"
"242590","0xddc22fbc4559feff07fb35cda96a636aebbd2aa4","","5/21/2021","1","8"
"242591","0x6350e1a72158e16a28b064ac49b1c9cfeb8aeef1","","5/21/2021","1","3"
"242598","0xad22fafb246da9d352a9f8f9c7864b9f1fc77d04","","5/21/2021","1","4"
"242611","0x5c57abd3548b87ef9babea37ed3abd51fad523a3","","5/21/2021","1","8"
"242614","0x81d3d66054c552b520f4b9ad73238eca0b8c9977","","5/21/2021","1","6"
"242616","0x173f5fcdb5238511a3df0e3506903617c55739cf","","5/21/2021","1","3"
"242617","0x910176d294afa2cd017928ca92a0bf5a01152194","","5/22/2021","1","7"
"242622","0x3f31bde678303320f19a677b8ed2a4a0739daca7","","5/21/2021","1","6"
"242626","0x468492c6a5239f9f1057cefc894a83bd60c462a0","","5/21/2021","1","4"
"242628","0x11d0b9058104247be40744b1e5a708fc0ae8f7cc","","5/21/2021","1","3"
"242634","0xda93c8286c47990e922406016f7eeddbe41d9702","","5/21/2021","1","6"
