"ID","Owner","shocktop.eth","Claim Date","Tx Count","Power"
"360899","0xd8a51412d499aed7a291e34240daedea860d4b24","cryptobangla.eth","6/18/2021","1","31"
"360901","0x1222cd4a715ad681e99f52576ee6aa51be5e1c8d","","6/18/2021","1","23"
"360903","0x19bae21c91acb1d2606b76963de0fb9a96e90227","","6/18/2021","1","22"
"360907","0x49087eb6f9529eb02a508fb820d7b4d0b52e4881","newstar.eth","6/18/2021","1","335"
"360910","0x4c41f7201552487a55c623f8a45694d9f88c2b81","","6/18/2021","1","332"
"360911","0x11d0b9058104247be40744b1e5a708fc0ae8f7cc","brianpatino.eth","6/18/2021","1","12"
"360912","0x6fadd14635ced43a8c2eaf11894d2771524ac2c2","","6/18/2021","1","22"
"360913","0xfd2a31a8a19f747ec416cdc46ffc432da366073a","","6/18/2021","1","9"
"360915","0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb","","6/18/2021","1","33"
"360917","0x500f736f569b801e12cbdd5d8116ea0717512520","bitsgate.eth","6/18/2021","1","9"
"360921","0xa62e59a099989cec789bc1c148c624a2b3a0bff3","","6/18/2021","1","97"
"360924","0xee6b92d023243a36a93661e75d5760da57121d91","chilltime.eth","6/18/2021","1","12"
"360926","0x8b9a05f50bf3257826b0fefc0af3f58951ad662e","","6/18/2021","1","86"
"360927","0x9e7006d9c43a032e1bbc8913c76c2209c86bb21d","chilldao.eth","6/18/2021","1","35"
"360928","0xf4a6a2f446d59f6ce84f86925547d21725d84223","rvdeeb.eth","6/18/2021","1","85"
"360929","0xe93fb6784e7cec8fb8d283a70295df714f3c0db7","etherflow.eth","6/18/2021","1","9"
"360930","0x47c7fe4084a06aa6f5ee6e14afac191ba5b63dc5","","6/18/2021","1","72"
"360931","0x856a6b90c32bb4b27565660085bbcf3a45aa5172","bobeglz.eth","6/18/2021","1","54"
"360932","0xb09861246e4149afa18581449c0bb6d4f56bfee3","","6/18/2021","1","14"
"360934","0x540c44ff7b71f2487cd11aaf53aec1a85bfe8f7a","","6/18/2021","1","7"
"360935","0x0b0e6e7235d67e35ea8d736766088a28c1985afc","","6/18/2021","1","11"
"360936","0x0d2c626e4a23d6754b6a7e0e27f4f97124abf47c","","6/18/2021","1","5"
"360937","0xf8adf12348f702080ca79ae8d2db6d0c658f878a","","6/18/2021","1","7"
"360938","0x1fbb06e5df7479be3b021cdea3271c61235ff1d5","","6/18/2021","1","9"
"360941","0x4f5695d12c30eae448c5f38023b12572e483453c","","6/18/2021","1","4"
"360942","0x4d06bd93d38226c6b00c59a3525145cbf112b6e1","","6/18/2021","1","14"
"360944","0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848","","6/18/2021","1","11"
"360947","0xfda01b765ed17bd971e970a24c568513baac43ed","rondo.eth","6/18/2021","1","11"
"360951","0x2f374873e3d410dddb11e7f0d7be6735645170bc","","6/18/2021","1","5"
"360952","0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7","","6/18/2021","1","7"
"360960","0x8dcbbfb22d55a46fe78e8ce5b16b2cd602d20223","","6/18/2021","1","30"
"360968","0x6307f18d8faa27132029385397376641fcc684d9","","6/18/2021","1","1"
"360972","0x261c8a9c5642abc0df4600b348b6ad28492507af","valgiacomo.eth","6/18/2021","1","5"
"360973","0x3d068f0ea96c46d969b871e0b377f206683541b8","newgirly.eth","6/18/2021","1","40"
"360975","0xe36f4d0f2342823c2d202be78cae20a84c146f99","misswolf.eth","6/18/2021","1","31"
"360978","0xe00dca2356e12932286ef8e55a622d09aed3cea7","","6/18/2021","1","22"
"360980","0xb79411ca5481024f3d176135e96c96e4046661d2","","6/18/2021","1","8"
"360982","0xe4f97647ea9328b0e5d03c9907fac7951ad78c65","douyin.dcl.eth","6/18/2021","1","4"
"360984","0xadf19bd8c637b3241e25e0d60ff78f598008ecc0","decibels42.eth","6/18/2021","1","318"
"361002","0xf4c7e772f24c10e3ce60ce549059a021f60c911e","","6/18/2021","1","42"
"361014","0x679e21a0ed6a30ee97a33e04d8009654f1d763e2","","6/18/2021","1","6"
"361015","0x22e29241d2071312047e619666ebf3ddf9f39461","blitzio.eth","6/18/2021","1","3"
"361045","0xfc783f00ad1eb798cda2deece3bba749bf783539","","6/18/2021","1","8"
"361067","0xbe2909813f6f850af99c8b968febf6eb884f1454","twilight-pirate.eth","6/18/2021","1","7"
"361069","0x0409d28e409448e543c610b369ee7d2b58c15f57","","6/18/2021","1","7"
"361074","0xb160af41084478567b9e10936670895bb708100e","","6/18/2021","1","39"
"361079","0x350b96a4c5e3454204e3f7519d7f9d35af8c87b9","","6/18/2021","1","28"
"361080","0x4f33a4007cb951852c5a47dead2f2a1549a738bf","","6/18/2021","1","9"
"361092","0x5edf0b0c1b6d78bcef494243801dc594944a392b","","6/18/2021","1","15"
"361095","0x199b3ba7c7d665bedc10af1a534940c6dc7c17b8","eaglelex.eth","6/18/2021","1","9"
"361101","0x75cd58a01883c6a115a1293c4dd4ce67d11928f0","","6/18/2021","1","11"
"361104","0x13aaf0994ffdb35bf32ddaf6e18b6efdd25a0808","dododo.eth","6/18/2021","1","13"
"361105","0x92cee811160734ff2eaa6e760a8649a62bd3f7ee","","6/18/2021","1","15"
"361106","0x16458d6563e02ee371544096ceb89dc32316c3dd","abcabc.eth","6/18/2021","1","3"
"361114","0x8504a09352555ff1acf9c8a8d9fb5fdcc4161cbc","carlosian.eth","6/18/2021","1","7"
"361117","0xab8a30f98d36e4e183ebc7ebd3f65f0f8475a9fd","xiaoer.eth","6/18/2021","1","10"
"361120","0x964d6e33c3a3746986bea880c7065fdc4016d912","","6/18/2021","1","26"
"361125","0x85d2cc6e3c3fd8bd6ac259f8eea25698bd6e8704","nftnet.eth","6/18/2021","1","6"
"361129","0x910c60c049d833a7fd2f5bda310bbea1c5fa3598","4chanx.eth","6/18/2021","1","29"
"361133","0xc1aea877366970c930ecc411b770ca8f3a66c527","8goldenfish.eth","6/18/2021","1","33"
"361138","0x044cd5f498ddbf0ea854ab4bc96110756b26de97","btccoin.eth","6/18/2021","1","12"
"361147","0xad3532392b4a3d427f3af5c7dd3b3dd882f74439","","6/18/2021","1","14"
"361148","0xf632f067bb26b08e95e23225a016ed9e02265137","kingway.eth","6/18/2021","1","7"
"361151","0x17dfd18987b6b131686fea478600b75d11193335","tokenbar.eth","6/18/2021","1","137"
"361156","0x800c6fe980eee9c66d0d4b0815f43bf7346d9deb","wujianli.eth","6/18/2021","1","22"
"361162","0x506ade0a94949db63047346d3796a01c09384198","tonylove.eth","6/18/2021","1","49"
"361166","0x5c63b361cd0476d3706e1064b112f671de0dc23f","","6/18/2021","1","26"
"361169","0x28c45e9a0bce210a05f304949f87d5268ac279d5","rtg888.eth","6/18/2021","1","317"
"361170","0x72b2cb558bf17f9e5aa40754a4e26ec480c07554","","6/18/2021","1","29"
"361172","0x10885d398a327e413e0f59ad8b41339e0ff18ff2","crazykay.eth","6/18/2021","1","302"
"361175","0x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5","","6/18/2021","1","139"
"361182","0xadad9bb36c5d21401e18a4277eab60ad4ed2a3f7","","6/18/2021","1","16"
"361183","0x53c31293c544bc69898f90009ce27980d7574fa2","luyao.eth","6/18/2021","1","143"
"361194","0x1c1cc870115fdf86288cf38556c4da441699a0e2","lixiaojing.eth","6/18/2021","1","3"
"361196","0xd1bc2dbb8ebc0707ed89499116040a3efc3f97f2","top123.eth","6/18/2021","1","40"
"361198","0x8c2e843664be468522769b0d1b3b604a17962249","","6/18/2021","1","47"
"361203","0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83","","6/18/2021","1","28"
"361207","0xcfd1f6ecacbdfbe61e03e942bf677880a5cfac0f","","6/18/2021","1","12"
"361212","0x8e67f585ea4b0fbbc05cede51d346b269e322a33","no-00.eth","6/18/2021","1","35"
"361217","0xb653ce2ddc7d0cc1e8403d6387ba0c2c1b735fd5","","6/18/2021","1","7"
"361222","0x910176d294afa2cd017928ca92a0bf5a01152194","","6/18/2021","1","12"
"361224","0x2247772b13194424010404812bdefd7025bffec3","brinky.eth","6/18/2021","1","7"
"361236","0x4f2769ea94ed3591e9d845708c7e90355cf4c38b","onmoon.eth","6/18/2021","1","8"
"361242","0x75ba5ee883c2ede43282bde16e38d6ca8edccdf3","omniman.eth","6/18/2021","1","18"
