"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0xda283fc414203a2dac06b1c68adc6b688660993f",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0xda283fc414203a2dac06b1c68adc6b688660993f",58
"0xa1a52925369c3870aacf26decf7a8727e5a47fb7",9,2,11,40536.0000000001,3.73580394500897e-05,0.000634475162688303,"0xa1a52925369c3870aacf26decf7a8727e5a47fb7",58
"0xc7e8d862eda5a5b4571ebf82883478c616fa0d10",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0xc7e8d862eda5a5b4571ebf82883478c616fa0d10",58
"0x349b5a67b27c3cea4cf992a047effd090d8fdb1a",1,1,2,222.777777777783,3.14159153026923e-05,8.13474926886254e-05,"0x349b5a67b27c3cea4cf992a047effd090d8fdb1a",58
"0x8b68314eada9d4ba43c6e585f52a39adefc57839",2,2,4,6.5159311976913,3.71816322736568e-05,8.14204635619197e-05,"0x8b68314eada9d4ba43c6e585f52a39adefc57839",4
"0xac237c34bf06d7d723de247931d9aea5b2cde33f",2,1,3,1.93816069672253,3.65764447695684e-05,8.14204635619197e-05,"0xac237c34bf06d7d723de247931d9aea5b2cde33f",58
"0xa9edadfe5bce820650d86671261eeaccece2f80b",1,1,2,0,3.25573823864561e-05,0.000123466830015678,"0xa9edadfe5bce820650d86671261eeaccece2f80b",15
"0x0a540d29d1369e1c88ea8c3c909295a4805cc248",1,1,2,2006.92681912682,3.8918439443745e-08,0.000123466830015788,"0x0a540d29d1369e1c88ea8c3c909295a4805cc248",12
"0xa3b0e79935815730d942a444a84d4bd14a339553",3,3,6,0,3.79766064104512e-05,0.000207776065235735,"0xa3b0e79935815730d942a444a84d4bd14a339553",11
"0xa622397cfd777766f4b31ee2fdfe733e85c0c6c8",1,1,2,0,3.20986069204597e-05,0.000123466830015678,"0xa622397cfd777766f4b31ee2fdfe733e85c0c6c8",79
"0x8bbec86ed6a27d8654aa601e364a3f1a359cf428",2,2,4,7.7706435453812,3.84231153461923e-05,8.14204635619197e-05,"0x8bbec86ed6a27d8654aa601e364a3f1a359cf428",4
"0x923f9004a946c04d92750ef5b77220edccb3c23e",1,1,2,0,3.79766064104512e-05,0.000123466830015678,"0x923f9004a946c04d92750ef5b77220edccb3c23e",11
"0x6e32c149094e8007d7bb838554175470ecf82f3e",1,2,3,3.90699476167026,3.79809335713472e-05,8.13474926886254e-05,"0x6e32c149094e8007d7bb838554175470ecf82f3e",11
"0x7c25bb0ac944691322849419df917c0acc1d379b",8,4,12,0,3.79766064104512e-05,0.000434683946035144,"0x7c25bb0ac944691322849419df917c0acc1d379b",9
"0xfa25861c1993ecf52aacfe955ed1685965e3d499",1,1,2,2005.96079253017,3.12881324113764e-05,0.000123466830015678,"0xfa25861c1993ecf52aacfe955ed1685965e3d499",4
"0x4b6f43834f4b6b2407fa8d2f88e6e5ca0e3b48df",2,2,4,9.02535589307108,3.79809335713472e-05,8.14204635619197e-05,"0x4b6f43834f4b6b2407fa8d2f88e6e5ca0e3b48df",11
"0x683a42e5b414ae5cf79ece7e369ca5937fdcdc11",1,1,2,1.53599122043157,3.63358889575233e-05,8.13474926886254e-05,"0x683a42e5b414ae5cf79ece7e369ca5937fdcdc11",9
"0x6c1dadd809435a33ee0aebb1c4e167f25a6ca625",2,2,4,7.7706435453812,3.84231153461923e-05,8.14204635619197e-05,"0x6c1dadd809435a33ee0aebb1c4e167f25a6ca625",4
"0xb752d7a4e7ebd7b7a7b4deefd086571e5e7f5bb8",2,2,4,10134,3.79823761774537e-05,0.000219602949976313,"0xb752d7a4e7ebd7b7a7b4deefd086571e5e7f5bb8",5
"0x6fe9f4df83c368fa89af5f8c3696d30799b369cb",2,1,3,3.30005409197775,3.22196088539485e-05,0.000151921804345898,"0x6fe9f4df83c368fa89af5f8c3696d30799b369cb",3
"0xb47652983efe5e4b8439b7936d6197915407b0f0",4,3,7,0,3.79766064104512e-05,0.000249930682845763,"0xb47652983efe5e4b8439b7936d6197915407b0f0",11
"0x86aabcd459587bc1a347ae1e2d15223856354ec9",3,3,6,104.819635913475,3.81723098064664e-05,0.000119026437095081,"0x86aabcd459587bc1a347ae1e2d15223856354ec9",11
"0x451296049b36e9f07394b9c6c6d325bd6ac6127f",1,1,2,4,3.8918439443745e-08,8.13474926886254e-05,"0x451296049b36e9f07394b9c6c6d325bd6ac6127f",4
"0x5ba5fcf1d81d4ce036bba16b36ba71577aa6ef89",1,1,2,1.53599122043157,3.63358889575233e-05,8.13474926886254e-05,"0x5ba5fcf1d81d4ce036bba16b36ba71577aa6ef89",9
"0xdf30edd4463cf580d4c5d4433974959eec7d081f",2,1,3,0.5,3.8918439443745e-08,8.14204635619198e-05,"0xdf30edd4463cf580d4c5d4433974959eec7d081f",12
"0x72245a8222ff9ce48b3cf6524944beaecf2eba73",1,2,3,256,3.75403558825738e-05,0.000115915909419466,"0x72245a8222ff9ce48b3cf6524944beaecf2eba73",4
"0x0de1607f06205ce19330ce06e8b70cf8a7f7909d",1,1,2,0,3.63332485557534e-05,0.000123466830015678,"0x0de1607f06205ce19330ce06e8b70cf8a7f7909d",9
"0x5941fdbc87c8e155f6a8f7f6e87fc67e1256d305",3,1,4,4,3.18511912345522e-05,0.000197599575026182,"0x5941fdbc87c8e155f6a8f7f6e87fc67e1256d305",9
"0xf081a2e8f9cd7a021ecc637adfc5dea821c3012e",5,4,9,0,3.79766064104512e-05,0.000292085300455791,"0xf081a2e8f9cd7a021ecc637adfc5dea821c3012e",11
"0x72e1638bd8cd371bfb04cf665b749a0e4ae38324",1,1,2,0.933333333333333,3.8918439443745e-08,8.13474926886254e-05,"0x72e1638bd8cd371bfb04cf665b749a0e4ae38324",28
"0x00a75921757f52d69691c7135b17646de1d229b0",2,1,3,0,3.79766064104512e-05,0.000165621447625706,"0x00a75921757f52d69691c7135b17646de1d229b0",11
"0xf6da21e95d74767009accb145b96897ac3630bad",22,22,44,0,3.79766064104512e-05,0.00100871379982627,"0xf6da21e95d74767009accb145b96897ac3630bad",11
"0xe20ed85154cb685217fcbb67d8cf768b1449882f",1,1,2,1.51797939728128,3.71816322736568e-05,8.13474926886254e-05,"0xe20ed85154cb685217fcbb67d8cf768b1449882f",4
"0x5efec2646eb5d768dfa12c9943ee2f1cc458913b",1,1,2,1.53599122043157,3.63358889575233e-05,8.13474926886254e-05,"0x5efec2646eb5d768dfa12c9943ee2f1cc458913b",9
"0xebedb34a32e45d0c9cfd4f31517297f20221b8cb",2,2,4,3.87632139344506,3.65764447695684e-05,8.14204635619197e-05,"0xebedb34a32e45d0c9cfd4f31517297f20221b8cb",58
"0x0000000000a8fb09af944ab3baf7a9b3e1ab29d8",1,1,2,2003.96267932262,2.7604482968034e-05,0.000123466830015678,"0x0000000000a8fb09af944ab3baf7a9b3e1ab29d8",11
"0x62d6019237378ed44e67652c94fae7fda2cdf4fd",2,1,3,4.51267794653554,3.79809335713472e-05,8.14204635619197e-05,"0x62d6019237378ed44e67652c94fae7fda2cdf4fd",11
"0xd8c0fa4c65acfd29741bea4d6c0452a2381c130f",1,1,2,0,3.79766064104512e-05,0.000123466830015678,"0xd8c0fa4c65acfd29741bea4d6c0452a2381c130f",11
"0x737d1be798efa2278fb46807b2ea3ec36397f5da",2,1,3,4.51267794653554,3.79809335713472e-05,8.14204635619197e-05,"0x737d1be798efa2278fb46807b2ea3ec36397f5da",11
"0xd09d42e00c55a7e4d24ff55ccd812a2cf0ae4ef3",2,3,5,21.8944625155353,3.84201629014907e-05,0.000139636903047922,"0xd09d42e00c55a7e4d24ff55ccd812a2cf0ae4ef3",9
"0x2cd0487c302547fb4da28780ab3cf862e103fe9b",2,1,3,0,3.79766064104512e-05,0.000165621447625706,"0x2cd0487c302547fb4da28780ab3cf862e103fe9b",11
"0x6e354a1663ed3755faa52bcbbe7170ea7c4d5bb4",2,2,4,7.7706435453812,3.84231153461923e-05,8.14204635619197e-05,"0x6e354a1663ed3755faa52bcbbe7170ea7c4d5bb4",4
"0x37519c9bde96f1af2e498e3dd3e87c1fbbae84be",2,5,7,10070,3.89491746377775e-08,8.14204635619198e-05,"0x37519c9bde96f1af2e498e3dd3e87c1fbbae84be",32
"0x91fb9a17aace06f0ffbeb5e54d356d2870ac59eb",2,2,4,2016.51267794654,3.79881476979183e-05,8.14204635619197e-05,"0x91fb9a17aace06f0ffbeb5e54d356d2870ac59eb",4
"0x286cd2ff7ad1337baa783c345080e5af9bba0b6e",2,1,3,3.57697579258569,3.63358889575233e-05,8.14204635619197e-05,"0x286cd2ff7ad1337baa783c345080e5af9bba0b6e",9
"0x26febdc1667057d4f1949984a5043ba945674cb4",1,2,3,0.926704776497684,3.65817968978636e-05,8.13474926886254e-05,"0x26febdc1667057d4f1949984a5043ba945674cb4",58
"0x1ce933100c47bc6d5c3cd3d7e11034e375068ec2",1,1,2,0,3.1855249745158e-05,8.13474926886254e-05,"0x1ce933100c47bc6d5c3cd3d7e11034e375068ec2",12
"0x6619185a9fe99a5eee13359b899e0d5e18f50dd0",2,3,5,11.3476193379669,3.85534736679775e-05,8.14204635619197e-05,"0x6619185a9fe99a5eee13359b899e0d5e18f50dd0",9
"0xb6f795142f4d5f0cfc4961a5e034d9d7463262d3",1,1,2,32.3520272157745,3.7180249851279e-05,0.000113102806950665,"0xb6f795142f4d5f0cfc4961a5e034d9d7463262d3",79
"0x4d00af255c2886da69287c6fadf059ac874e1933",1,3,4,5.44298598210183,3.81752242794426e-05,8.13474926886254e-05,"0x4d00af255c2886da69287c6fadf059ac874e1933",9
"0xfdca5e1e9de4a9a4534bbd4c352ccfe704dd17b0",2,1,3,0,3.63332485557534e-05,0.000165621447625706,"0xfdca5e1e9de4a9a4534bbd4c352ccfe704dd17b0",9
"0x4194ce73ac3fbbece8ffa878c2b5a8c90333e724",2,1,3,3.12991932570645,3.63332485557534e-05,0.000131200901336235,"0x4194ce73ac3fbbece8ffa878c2b5a8c90333e724",9
"0x82e403e2b4c075f6b92050f483215eaaea0a70be",1,2,3,2012,3.06908510572998e-05,8.13474926886254e-05,"0x82e403e2b4c075f6b92050f483215eaaea0a70be",9
"0x4a8b9e2c2940fdd39aceb384654dc59acb58c337",4,1,5,6.76483200313545,3.63332485557534e-05,0.000181127280857139,"0x4a8b9e2c2940fdd39aceb384654dc59acb58c337",9
