address,choice,balance,timestamp,dateUtc,authorIpfsHash,choice.1
0x35CBfd590647f87D41125714B35af997Eeb35100,1,5,1623987930,"Fri, 18 Jun 2021 03:45:30 GMT",QmbMGG8EwgpDrDErup1KNsPZeVnXPWtjMg8C6ga7SGWNC5
0x94C7171b3f1b346D5057DF4e1E4fF4904351DCA7,1,5,1623987952,"Fri, 18 Jun 2021 03:45:52 GMT",Qma67wypEEKaVawkSPHqWdvgYfiG5s6wcPc1QDwwswScSo
0xfDA32Bf43488ee5A2e54cF81B07Ca7De9fB34D34,1,5,1623987975,"Fri, 18 Jun 2021 03:46:15 GMT",QmeJyMyDS8dia8ammkS5yne3SReaZKPqgVAruQ56xJPsh9
0xfedB5A20586c59A3A38eAfA72b7B749BE837e59c,1,5,1623987998,"Fri, 18 Jun 2021 03:46:38 GMT",QmdPMHRgFVVnukLywaYqRprw1Z7vvnFBhrMbzRNtQ8Upm9
0x6911C8d0180eBd35916731aB38c3a12f67c05f8A,1,5,1623988021,"Fri, 18 Jun 2021 03:47:01 GMT",QmTBpd9rD6ehE2QaLVXTerEYKFrdCniTSmrjEsexqnL7Kk
0x09aA1A9b3B3282CEb7f7eC493684594EE0BE3933,1,5,1623988043,"Fri, 18 Jun 2021 03:47:23 GMT",QmVNXgkm1LZFSRsBG33aqpvVyWxC3Dr8hm4SavfGYrQaV1
0x884e4F350FAEc66f214d0c8ac29Fc6571E9Ed623,1,5,1623988066,"Fri, 18 Jun 2021 03:47:46 GMT",QmQavGxkunAGbLH1nXWajZHDtKKrd7Qw8LULYUZF5TcfKM
0x1138A2616E2D0ef0B6cd0e3DA53823C605E99871,1,5,1623988089,"Fri, 18 Jun 2021 03:48:09 GMT",QmbXUKMbTpL3fSfES1xCJRVqPGgj4NrUpViYimifMgntMi
0xAd605931E1eB55F4631765CcD64B7Da94b41Aa5C,1,5,1623988112,"Fri, 18 Jun 2021 03:48:32 GMT",Qma6tfbptraLRzKQjZDzdQLz8UH5c9nFPxtSKm37ywnfYh
0x5b8EB545491aDF56B55c0529ef2e2424480DFFa6,1,5,1623988134,"Fri, 18 Jun 2021 03:48:54 GMT",QmdtyPTi68bEVjpRPRURF9gCwVuYwV7r6ysomTJmmZHcqW
0x93c7213387CB807f7a7936308CE39f79994AC17C,1,5,1623988157,"Fri, 18 Jun 2021 03:49:17 GMT",Qme6YmFdenoBEQ84zGNnHhVhHWNEetxhkyAKcFuP4BBVpm
0x1e386CF95217DFD2f409DB05b21304bAafb39Cac,1,5,1623988180,"Fri, 18 Jun 2021 03:49:40 GMT",QmYdBhhd7o6HXhLEKKCVp12fvLyHpywQswiou5jQLp89XS
0x40249AD65C5665A9D2a7E33CaD2335b490aC9D99,1,5,1623988203,"Fri, 18 Jun 2021 03:50:03 GMT",QmZsbaVgC67kkTx1RHXkvWZT9He4fhi8Mt72xAy1q3T7AG
0x6D60cA5b4d34542EF91E2a3655f4d08c19Ee2d70,1,5,1623988226,"Fri, 18 Jun 2021 03:50:26 GMT",QmZgcXisBEG2JxmbxpEY5NesRXquY5KGLYfGH4RN1aRUeg
0x541F770Aa951e67e3292F0b0ebdc5777DaC951c8,1,5,1623988248,"Fri, 18 Jun 2021 03:50:48 GMT",QmS7wxrbT2GB49uFF4pSP7PYizBLn2W1ibYFiAYNa5cR8E
0x6387d76AC8646ad0f16f972Fd01e4Ca1033BB18b,1,5,1623988271,"Fri, 18 Jun 2021 03:51:11 GMT",QmXpiDq4MEyuD5ordJXtX3iPWREuLBznVwuhCnKDcYZZox
0x5296Bac305B6aE37909Ba9118461639Dc72940a7,1,5,1623988294,"Fri, 18 Jun 2021 03:51:34 GMT",QmSapkFy9iFkS66VnibtUff1ySYBRugeWmtY7jMz296MWH
0xF3664D763B64AAd15f29a5bcA4314683eaBD35f7,1,5,1623988317,"Fri, 18 Jun 2021 03:51:57 GMT",QmdicK7pdW5CDsvvUKkpjy47ik2hKUwQb8nS7wKVa57taJ
0x31DeEE762467771547984D6a2575390C948de12e,1,5,1623988339,"Fri, 18 Jun 2021 03:52:19 GMT",QmR8fHhApRanrxVb1wWXcp84xKh6Lfgpr2cqTU7u46bvFg
0x08A4F59BF5aD98a3E565E4A8b13FEd5393911895,1,5,1623988362,"Fri, 18 Jun 2021 03:52:42 GMT",QmU4L3MEcjTrP29s5NSYn1xPHfzQc91Wt5VwuqaVJqoHUe
0xA3770E8750F2001670DddF0e5de8859f5d9565f4,1,5,1623988385,"Fri, 18 Jun 2021 03:53:05 GMT",QmcaGRCgo7PSbBUG5NvuRNU9r5d9tWEXQw7GNdbPYPSzd2
